Time_ns,In_L,In_R,Out_L,Out_R,Valid_Out
4455,7460,3759,0,0,1
4465,11043,5621,3759,1883,1
4475,14452,7460,7460,3759,1
4485,17633,9270,11043,5621,1
4495,20536,11043,14452,7460,1
4505,23115,12773,17633,9270,1
4515,25329,14452,20536,11043,1
4525,27144,16074,23115,12773,1
4535,28531,17633,25329,14452,1
4545,29468,19122,27144,16074,1
4555,29940,20536,28531,17633,1
4565,29940,21869,29468,19122,1
4575,29468,23115,29940,20536,1
4585,28531,24270,29940,21869,1
4595,27144,25329,29468,23115,1
4605,25329,26289,28531,24270,1
4615,23115,27144,27144,25329,1
4625,20536,27893,25329,26289,1
4635,17633,28531,23115,27144,1
4645,14452,29057,20536,27893,1
4655,11043,29468,17633,28531,1
4665,7460,29763,14452,29057,1
4675,3759,29940,11043,29468,1
4685,0,29999,7460,29763,1
4695,-3759,29940,3759,29940,1
4705,-7460,29763,0,29999,1
4715,-11043,29468,-3759,29940,1
4725,-14452,29057,-7460,29763,1
4735,-17633,28531,-11043,29468,1
4745,-20536,27893,-14452,29057,1
4755,-23115,27144,-17633,28531,1
4765,-25329,26289,-20536,27893,1
4775,-27144,25329,-23115,27144,1
4785,-28531,24270,-25329,26289,1
4795,-29468,23115,-27144,25329,1
4805,-29940,21869,-28531,24270,1
4815,-29940,20536,-29468,23115,1
4825,-29468,19122,-29940,21869,1
4835,-28531,17633,-29940,20536,1
4845,-27144,16074,-29468,19122,1
4855,-25329,14452,-28531,17633,1
4865,-23115,12773,-27144,16074,1
4875,-20536,11043,-25329,14452,1
4885,-17633,9270,-23115,12773,1
4895,-14452,7460,-20536,11043,1
4905,-11043,5621,-17633,9270,1
4915,-7460,3759,-14452,7460,1
4925,-3759,1883,-11043,5621,1
4935,0,0,-7460,3759,1
4945,3759,-1883,-3759,1883,1
4955,7460,-3759,0,0,1
4965,11043,-5621,3759,-1883,1
4975,14452,-7460,7460,-3759,1
4985,17633,-9270,11043,-5621,1
4995,20536,-11043,14452,-7460,1
5005,23115,-12773,17633,-9270,1
5015,25329,-14452,20536,-11043,1
5025,27144,-16074,23115,-12773,1
5035,28531,-17633,25329,-14452,1
5045,29468,-19122,27144,-16074,1
5055,29940,-20536,28531,-17633,1
5065,29940,-21869,29468,-19122,1
5075,29468,-23115,29940,-20536,1
5085,28531,-24270,29940,-21869,1
5095,27144,-25329,29468,-23115,1
5105,25329,-26289,28531,-24270,1
5115,23115,-27144,27144,-25329,1
